ID,Score,Real_Class
decoy_35,0.67152,Inactive
decoy_20,0.63423,Inactive
decoy_28,0.54546,Inactive
decoy_13,0.51008,Inactive
51028037,0.49469,Active
decoy_03,0.49394,Inactive
decoy_52,0.46506,Inactive
decoy_36,0.44492,Inactive
decoy_21,0.44279,Inactive
decoy_41,0.44156,Inactive
decoy_42,0.42648,Inactive
decoy_01,0.39413,Inactive
decoy_11,0.38728,Inactive
decoy_19,0.38393,Inactive
decoy_23,0.36553,Inactive
decoy_49,0.36343,Inactive
decoy_24,0.35951,Inactive
decoy_34,0.33988,Inactive
decoy_26,0.23433,Inactive
decoy_09,0.22426,Inactive
decoy_30,0.21799,Inactive
decoy_44,0.20773,Inactive
decoy_08,0.19089,Inactive
decoy_18,0.17637,Inactive
decoy_07,0.172,Inactive
decoy_31,0.15212,Inactive
decoy_25,0.11716,Inactive
decoy_33,0.10287,Inactive
decoy_17,0.10276,Inactive
decoy_39,0.08709,Inactive
decoy_27,0.08247,Inactive
decoy_22,0.06465,Inactive
decoy_32,0.04445,Inactive
decoy_46,0.04277,Inactive
decoy_29,0.03428,Inactive
decoy_02,0.02094,Inactive
decoy_12,0.01808,Inactive
decoy_51,0.01755,Inactive
decoy_47,0.01589,Inactive
decoy_50,0.01363,Inactive
decoy_45,0.01318,Inactive
decoy_38,0.01314,Inactive
50333242,0.0084,Active
decoy_14,0.00702,Inactive
decoy_40,0.00594,Inactive
decoy_06,0.00566,Inactive
decoy_05,0.00524,Inactive
decoy_37,0.00454,Inactive
decoy_16,0.00421,Inactive
decoy_10,0.00418,Inactive
decoy_04,0.00237,Inactive
decoy_48,0.00154,Inactive
decoy_43,0.00153,Inactive
decoy_15,0.00043,Inactive